playerID,nameFirst,nameLast
aardsda01,david,aardsma
aaronha01,hank,aaron
aaronto01,tommie,aaron
aasedo01,don,aase
abadan01,andy,abad
abadfe01,fernando,abad
abadijo01,john,abadie
abbated01,ed,abbaticchio
abbeybe01,bert,abbey
abbeych01,charlie,abbey
abbotda01,dan,abbott
abbotfr01,fred,abbott
abbotgl01,glenn,abbott
abbotje01,jeff,abbott
abbotji01,jim,abbott
abbotku01,kurt,abbott
abbotky01,kyle,abbott
abbotod01,ody,abbott
abbotpa01,paul,abbott
aberal01,al,aber
abercda01,frank,abercrombie
abercre01,reggie,abercrombie
abernbi01,bill,abernathie
abernbr01,brent,abernathy
abernte02,ted,abernathy
abernwo01,woody,abernathy
aberscl01,cliff,aberson
ablesha01,harry,ables
abnersh01,shawn,abner
abramca01,cal,abrams
abramge01,george,abrams
abregjo01,johnny,abrego
abreubo01,bobby,abreu
abreujo01,joe,abreu
abreujo02,jose,abreu
abreuju01,juan,abreu
abreuto01,tony,abreu
abreuwi01,winston,abreu
abstebi01,bill,abstein
accarje01,jeremy,accardo
aceveal01,alfredo,aceves
acevejo01,jose,acevedo
aceveju01,juan,acevedo
achteaj01,aj,achter
ackerji01,jim,acker
ackerto01,tom,acker
ackledu01,dustin,ackley
acklefr01,fritz,ackley
acostcy01,cy,acosta
acosted01,ed,acosta
acostjo01,jose,acosta
acostma01,manny,acosta
acostme01,merito,acosta
acrema01,mark,acre
actama99,manny,acta
acunaro01,ronald,acuna
adairbi99,bill,adair
adairje01,jerry,adair
adairji01,jimmy,adair
adamecr01,cristhian,adames
adamewi01,willy,adames
adamja01,jason,adam
adamsac01,ace,adams
adamsau02,austin,adams
adamsba01,babe,adams
adamsbe01,bert,adams
adamsbo03,bobby,adams
adamsbo04,bob,adams
adamsbu01,buster,adams
adamsch01,chance,adams
adamsda01,dan,adams
adamsda02,david,adams
adamsdi01,dick,adams
adamsdo01,doug,adams
adamsge01,george,adams
adamsgl01,glenn,adams
adamshe01,herb,adams
adamsji01,jim,adams
adamsjo01,joe,adams
adamsjo02,joel,adamson
adamska01,karl,adams
adamsla01,lane,adams
adamsma01,matt,adams
adamsmi01,mike,adamson
adamsmi03,mike,adams
adamsre01,red,adams
adamsri01,rick,adams
adamsri02,ricky,adams
adamsru01,russ,adams
adamsry01,ryan,adams
adamssp01,sparky,adams
adamssp02,spencer,adams
adamste01,terry,adams
adamswi02,willie,adams
adcocjo01,joe,adcock
adcocna01,nathan,adcock
addisbo01,bob,addis
adducji02,jim,adduci
addybo01,bob,addy
adenhni01,nick,adenhart
aderhmo01,morrie,aderholt
adkinde01,dewey,adkins
adkindi01,dick,adkins
adkindo01,doc,adkins
adkingr01,grady,adkins
adkinhe01,harry,atkinson
adkinjo01,jon,adkins
adkinst01,steve,adkins
adlemti01,tim,adleman
adlesda01,dave,adlesh
adriaeh01,ehire,adrianza
afenitr01,troy,afenir
affelje01,jeremy,affeldt
agbaybe01,benny,agbayani
ageeto01,tommie,agee
agganha01,harry,agganis
aglerjo01,joe,agler
agnewsa01,sam,agnew
agostju01,juan,agosto
aguaylu01,luis,aguayo
aguilch01,chris,aguila
aguilje01,jesus,aguilar
aguilri01,rick,aguilera
aguirha01,hank,aguirre
ahearch01,bill,ahearn
ahearpa01,pat,ahearne
ahmedni01,nick,ahmed
aikenwi01,willie,aikens
aingeda01,danny,ainge
ainsmed01,eddie,ainsmith
ainswku01,kurt,ainsworth
